LeaveVote;edlevel;gender;age;hhincome;econPersonalRetro1;EuropeanIdentity;EnglishIdentity;BritishIdentity;female
1;4;2;69;4;4;1;7;7;1
1;4;1;65;4;2;6;4;4;0
0;4;1;71;2;4;5;1;7;0
0;4;1;84;6;5;7;6;6;0
0;5;1;62;7;4;7;7;6;0
0;4;1;56;4;3;5;6;6;0
1;3;1;63;4;1;1;7;7;0
1;4;1;37;5;3;5;7;7;0
0;4;2;48;2;3;6;6;6;1
0;4;2;35;6;2;4;4;4;1
0;5;2;55;7;3;4;4;4;1
1;3;1;71;4;4;2;7;7;0
1;3;2;63;5;3;1;7;7;1
1;2;1;72;1;2;1;7;7;0
1;4;1;52;1;3;1;7;6;0
1;4;2;74;2;2;4;6;5;1
0;4;1;39;5;4;6;4;4;0
1;5;2;32;3;2;6;6;6;1
0;3;1;61;4;3;4;7;5;0
0;3;2;50;1;3;3;5;5;1
0;3;1;64;4;3;6;5;7;0
1;3;2;74;2;3;2;7;7;1
0;5;1;43;4;3;5;5;5;0
1;0;1;73;5;2;1;7;6;0
1;4;1;69;4;2;3;7;7;0
1;3;1;46;2;4;5;5;7;0
0;4;1;71;3;3;7;7;7;0
1;3;1;74;5;4;4;7;7;0
1;2;1;65;4;3;1;7;7;0
0;4;2;42;6;1;5;5;6;1
0;4;1;37;5;4;5;5;5;0
1;4;1;32;5;4;2;6;6;0
1;2;2;79;4;4;1;7;7;1
0;4;1;63;3;3;7;1;5;0
0;5;1;78;3;3;4;6;6;0
1;0;2;64;4;2;1;7;7;1
1;4;1;69;5;3;2;7;5;0
1;4;1;58;3;2;5;6;6;0
1;2;2;77;3;3;1;7;7;1
1;3;1;53;3;1;1;7;7;0
1;4;2;54;2;2;4;7;7;1
0;5;1;87;7;3;7;7;6;0
0;5;1;73;5;4;7;4;4;0
0;4;1;57;5;3;5;5;5;0
1;2;2;66;4;2;5;7;7;1
0;2;1;71;3;3;4;7;7;0
0;5;1;43;4;5;5;7;6;0
0;5;2;32;6;5;4;3;4;1
1;0;1;81;3;3;2;7;7;0
0;4;1;53;8;4;4;5;6;0
1;3;2;55;4;3;4;6;6;1
0;3;2;56;4;2;7;4;4;1
1;2;1;71;3;3;1;7;6;0
0;3;1;61;3;3;5;7;7;0
0;5;1;58;1;2;7;4;4;0
0;5;1;60;4;2;5;1;2;0
0;5;1;36;6;5;2;1;7;0
1;2;1;70;3;3;2;7;6;0
1;3;1;61;2;2;1;1;2;0
0;5;2;69;3;4;6;5;7;1
1;2;1;80;2;2;1;7;7;0
1;2;1;66;4;3;3;7;7;0
0;0;1;66;3;4;5;6;7;0
1;3;1;58;1;2;1;7;6;0
1;3;1;70;4;3;1;7;1;0
0;5;1;79;3;3;7;1;1;0
1;2;1;57;4;2;1;7;4;0
0;2;1;64;1;2;5;4;7;0
0;4;2;47;5;3;3;5;5;1
1;3;2;62;4;3;3;6;6;1
0;3;1;54;2;2;3;6;5;0
1;1;1;65;4;4;1;7;6;0
1;3;2;70;3;3;1;7;7;1
1;0;2;64;4;3;1;6;7;1
0;3;1;51;1;3;3;2;6;0
1;3;2;64;3;3;1;7;3;1
1;0;2;60;5;2;1;3;3;1
0;4;2;49;1;3;2;1;4;1
1;0;1;68;3;3;5;7;7;0
1;2;1;55;1;3;1;7;3;0
1;2;2;70;3;4;3;7;5;1
1;3;1;65;6;3;1;7;7;0
1;3;2;63;7;2;3;7;5;1
0;3;1;68;3;3;2;7;7;0
0;4;1;48;5;4;5;4;6;0
0;5;1;31;4;4;4;4;4;0
0;2;1;71;6;5;7;7;7;0
1;4;2;62;8;4;4;7;7;1
1;5;2;66;4;3;3;7;5;1
0;4;2;72;3;3;6;7;7;1
1;4;2;73;2;4;5;7;7;1
1;5;1;42;4;2;4;5;5;0
1;2;1;68;2;2;1;7;2;0
0;4;2;70;4;4;3;6;7;1
0;3;2;78;4;2;7;7;7;1
1;3;1;70;4;2;3;7;7;0
1;2;1;49;4;3;1;7;7;0
0;3;1;38;5;5;2;7;6;0
1;4;2;43;4;3;4;1;6;1
1;4;1;58;7;5;3;7;7;0
1;5;2;33;4;3;4;1;1;1
0;4;1;55;4;4;5;6;3;0
0;5;2;40;8;3;3;5;5;1
1;4;2;69;6;3;1;1;6;1
1;1;2;66;2;3;1;7;7;1
1;2;2;79;3;3;2;7;7;1
1;0;1;62;3;3;4;7;7;0
0;4;1;66;2;3;5;1;1;0
1;3;1;58;4;4;4;5;5;0
1;4;2;59;7;2;1;1;5;1
1;2;1;73;4;3;2;4;7;0
1;2;1;64;3;3;1;7;7;0
1;4;1;74;3;4;5;7;5;0
1;4;1;60;7;3;4;1;4;0
1;0;1;67;2;2;3;7;7;0
1;1;2;58;4;1;3;6;6;1
0;2;1;53;4;3;5;7;7;0
0;4;1;50;6;3;6;4;4;0
1;3;2;52;7;5;1;7;5;1
0;4;2;46;3;3;1;1;4;1
0;2;2;60;2;3;4;7;7;1
1;5;1;49;4;1;1;7;7;0
0;0;1;35;4;3;5;5;5;0
1;4;1;57;7;2;4;7;7;0
0;4;2;38;4;3;4;4;7;1
1;3;1;48;5;3;7;4;4;0
1;3;1;49;6;3;2;6;6;0
0;5;2;37;4;3;3;1;5;1
1;2;2;74;2;3;1;7;7;1
0;4;1;60;4;4;7;6;4;0
0;3;2;61;2;5;2;7;7;1
0;4;1;64;1;2;5;5;7;0
1;3;1;64;2;3;3;7;7;0
0;4;1;77;5;3;7;7;7;0
1;4;1;44;7;4;3;5;6;0
1;4;2;80;4;4;1;7;7;1
1;5;1;43;4;3;4;4;4;0
0;4;2;69;6;3;7;7;7;1
1;4;1;70;4;3;1;7;7;0
1;4;2;47;1;3;1;1;6;1
1;1;2;50;4;3;2;5;4;1
1;2;2;56;5;3;1;7;7;1
0;5;2;29;2;3;4;4;4;1
1;4;1;59;4;3;2;7;7;0
0;3;2;34;2;3;3;7;7;1
0;4;2;61;4;3;6;5;5;1
0;2;1;66;2;4;5;7;7;0
1;4;2;64;1;3;2;4;6;1
0;4;1;36;5;3;4;2;5;0
1;2;2;58;5;2;1;7;7;1
0;2;1;39;2;2;3;4;4;0
0;4;2;45;5;2;7;1;1;1
1;1;2;45;1;3;1;1;7;1
0;4;2;38;8;5;4;7;5;1
1;2;1;72;6;4;3;7;5;0
0;4;1;60;4;3;4;1;7;0
1;4;1;72;2;2;4;7;5;0
0;2;2;62;6;3;4;1;7;1
1;0;1;48;1;1;3;5;5;0
1;3;1;63;2;3;1;5;2;0
0;3;2;71;3;3;5;3;3;1
1;4;2;63;2;2;2;7;7;1
1;3;2;63;7;2;5;3;7;1
0;4;2;63;4;3;7;1;2;1
0;4;1;66;4;3;7;6;6;0
1;0;1;73;1;3;1;7;2;0
0;5;1;38;6;4;5;2;6;0
1;0;1;62;4;3;3;7;7;0
1;3;1;66;4;2;1;7;7;0
0;4;2;73;4;2;5;6;7;1
0;4;1;64;4;2;5;6;4;0
0;5;1;39;4;4;6;2;3;0
0;5;1;48;4;3;4;3;4;0
1;2;1;56;3;3;3;2;7;0
0;4;2;68;2;2;4;6;6;1
1;3;2;58;3;3;4;7;7;1
0;5;2;39;4;2;4;4;4;1
1;4;2;46;7;2;1;7;5;1
1;3;2;63;2;2;2;7;5;1
0;4;1;43;6;3;3;7;6;0
0;3;1;81;3;3;7;7;7;0
1;0;1;71;4;3;4;7;6;0
0;4;1;41;7;3;6;2;6;0
1;4;1;87;4;3;1;7;7;0
1;4;1;84;5;4;5;7;7;0
1;5;1;69;7;4;4;6;7;0
1;5;1;67;8;3;5;1;7;0
0;3;1;56;4;2;6;3;6;0
1;4;2;72;4;3;4;7;5;1
0;4;1;66;5;3;5;7;7;0
1;3;1;53;6;3;4;6;6;0
1;4;1;76;4;3;2;7;7;0
1;1;2;69;2;3;1;7;6;1
1;3;1;66;4;4;3;7;5;0
1;2;2;64;3;3;3;7;7;1
1;0;2;70;4;3;1;7;2;1
0;5;1;31;5;3;4;5;5;0
0;5;2;74;3;3;4;7;6;1
0;3;1;74;4;4;5;7;7;0
0;4;1;72;4;2;6;7;6;0
1;3;1;67;4;3;1;7;7;0
1;3;2;65;2;3;3;1;5;1
1;0;1;70;2;2;1;5;3;0
1;2;1;72;2;2;5;4;5;0
1;2;1;63;4;3;2;6;5;0
1;2;1;69;3;5;3;7;7;0
1;3;1;37;4;3;4;7;7;0
1;4;1;38;6;3;2;6;6;0
0;4;1;62;6;2;5;3;3;0
1;2;1;73;6;5;1;7;7;0
1;4;1;55;5;2;1;7;7;0
1;2;2;73;3;3;4;7;7;1
1;1;1;70;3;2;1;7;2;0
1;3;1;72;4;4;2;1;7;0
0;1;2;63;3;3;6;4;5;1
0;4;1;56;7;4;7;7;7;0
0;4;1;28;3;3;1;1;7;0
1;0;2;69;5;3;1;7;7;1
0;2;2;61;4;4;5;1;6;1
1;3;2;58;1;3;1;7;7;1
1;3;2;74;4;3;5;7;7;1
0;4;1;52;2;3;1;1;7;0
1;3;1;73;4;3;2;7;5;0
0;4;2;41;4;3;5;5;5;1
0;2;2;61;5;3;4;6;6;1
0;4;2;72;3;3;1;7;7;1
1;4;2;60;4;2;5;1;6;1
0;2;2;72;4;3;4;7;5;1
0;4;1;51;6;3;4;4;4;0
0;4;1;74;3;2;4;1;3;0
0;4;1;35;4;5;6;5;6;0
0;3;1;40;8;4;5;5;5;0
0;4;1;57;3;2;7;2;2;0
0;1;2;53;4;3;6;7;7;1
0;4;2;58;7;3;6;4;4;1
1;0;1;63;3;2;1;7;7;0
1;0;2;57;3;3;2;7;4;1
1;4;1;44;5;3;1;5;6;0
0;5;1;34;5;3;4;6;5;0
0;4;1;45;4;2;7;4;5;0
0;5;1;51;4;1;7;2;5;0
1;3;2;47;2;1;1;7;7;1
1;1;1;60;4;1;1;7;6;0
0;3;2;70;2;2;5;7;6;1
1;2;2;62;4;2;1;7;7;1
0;4;1;37;3;3;3;5;5;0
1;2;1;59;5;3;5;7;7;0
0;5;1;74;6;3;4;7;7;0
1;0;1;73;2;2;1;7;7;0
0;2;1;67;3;3;4;7;7;0
1;2;1;73;3;2;1;7;7;0
0;5;2;29;3;3;6;6;6;1
1;5;1;76;2;3;1;7;5;0
0;2;1;84;4;2;5;7;7;0
1;3;1;76;4;3;1;7;6;0
0;2;1;66;3;3;4;5;6;0
0;4;1;52;8;3;7;7;7;0
0;4;1;45;3;3;1;1;1;0
1;3;2;79;4;3;1;6;7;1
1;2;2;70;4;3;2;7;7;1
1;4;2;48;2;3;2;6;7;1
1;3;1;71;3;3;3;7;7;0
0;3;1;38;4;3;4;1;5;0
0;4;2;46;4;3;6;6;6;1
0;2;1;47;4;3;5;5;5;0
0;2;1;74;1;1;7;7;1;0
1;0;1;72;6;3;2;7;7;0
0;4;2;47;1;3;4;3;5;1
0;2;1;53;5;2;4;1;4;0
0;4;1;42;4;2;2;4;6;0
0;4;1;40;7;3;6;6;5;0
0;4;2;60;5;4;5;2;5;1
1;3;1;74;4;4;3;6;7;0
1;5;1;67;1;3;1;7;4;0
0;4;2;38;2;3;4;5;5;1
0;5;2;77;2;1;7;1;4;1
0;3;1;71;6;2;7;7;7;0
0;3;2;61;6;3;5;5;7;1
0;3;1;63;5;3;5;5;7;0
0;4;1;49;4;4;4;2;5;0
0;3;2;31;5;3;5;1;5;1
1;4;1;76;3;3;2;5;7;0
0;4;2;51;2;2;3;5;3;1
1;0;2;52;4;3;2;7;4;1
1;1;1;48;5;2;1;7;6;0
0;4;2;70;4;3;3;7;7;1
1;3;2;66;2;3;2;7;7;1
1;0;1;68;1;2;1;7;7;0
1;5;1;77;3;2;1;6;6;0
1;4;1;74;4;3;4;1;6;0
1;2;1;69;3;3;1;7;4;0
1;4;2;66;4;3;2;7;7;1
1;2;1;67;3;2;2;7;6;0
1;4;2;44;7;4;3;3;5;1
1;4;1;74;3;3;2;6;5;0
1;3;1;67;1;3;3;1;7;0
0;2;1;69;2;2;4;7;7;0
1;2;1;48;1;3;1;1;1;0
1;4;2;56;8;3;3;6;6;1
0;4;2;43;4;2;6;7;7;1
1;0;1;75;4;4;1;7;7;0
1;1;2;68;4;3;1;7;7;1
1;4;2;50;4;3;3;7;7;1
1;2;1;67;4;2;4;7;7;0
1;3;1;69;3;2;3;6;6;0
1;2;1;70;3;3;3;5;5;0
1;2;2;53;5;4;4;7;7;1
1;4;2;67;4;2;5;6;6;1
0;2;1;68;3;3;5;5;6;0
1;2;1;70;2;3;1;7;7;0
1;0;1;74;4;2;1;7;7;0
1;5;1;52;7;2;1;7;7;0
0;4;1;61;2;2;6;4;6;0
1;1;1;59;2;1;1;1;6;0
1;3;2;80;4;3;1;1;7;1
1;2;1;57;4;3;4;7;7;0
1;4;1;76;4;3;5;5;7;0
1;3;2;85;4;2;5;2;7;1
0;5;1;69;3;2;1;5;7;0
1;3;1;68;6;2;3;6;6;0
1;4;1;67;6;4;3;6;5;0
1;2;1;71;2;4;1;7;7;0
0;4;2;75;7;3;7;1;7;1
0;1;2;48;1;3;6;6;6;1
0;2;2;61;1;3;5;7;5;1
0;4;2;79;2;3;7;7;7;1
1;0;2;35;2;1;1;7;7;1
1;4;1;31;4;2;5;6;3;0
1;2;1;70;2;3;1;7;7;0
0;4;1;67;6;5;6;6;6;0
0;2;2;55;4;3;5;1;2;1
1;4;1;74;7;2;1;1;7;0
1;3;1;51;4;4;3;1;7;0
1;2;2;71;4;3;2;7;7;1
0;5;1;75;5;2;6;7;5;0
1;2;2;67;6;2;1;7;4;1
1;4;1;62;2;2;2;7;6;0
1;4;1;65;1;4;1;6;7;0
1;5;1;73;7;3;5;6;6;0
1;3;1;67;2;2;2;6;6;0
1;4;1;70;4;4;1;7;5;0
0;5;2;75;3;3;7;2;2;1
1;5;1;66;6;3;5;7;7;0
1;3;1;66;4;3;5;7;7;0
1;2;1;76;6;3;2;7;7;0
1;2;1;78;4;3;5;7;6;0
1;2;2;57;4;3;1;7;5;1
0;4;2;61;7;3;5;4;5;1
0;4;1;54;2;3;7;7;7;0
0;4;1;33;3;3;5;7;7;0
1;2;1;68;2;3;1;1;7;0
1;2;1;70;5;4;2;7;7;0
0;4;1;75;3;2;6;6;6;0
1;4;2;81;5;1;1;7;7;1
1;2;1;55;5;3;4;6;7;0
1;2;1;68;1;3;1;6;7;0
1;2;1;67;3;3;3;1;7;0
0;3;2;73;4;2;7;5;7;1
0;4;1;38;5;4;5;7;7;0
1;3;1;57;6;2;1;7;2;0
1;2;1;79;3;3;2;7;6;0
0;2;2;69;4;3;4;7;6;1
1;2;2;60;1;3;3;6;6;1
0;4;1;32;2;2;5;3;3;0
1;3;1;40;4;4;4;7;7;0
0;5;1;43;7;4;6;6;6;0
1;4;1;58;4;4;2;3;7;0
0;4;1;31;4;4;5;7;7;0
0;5;1;67;4;3;7;2;2;0
0;5;1;44;2;4;7;1;1;0
0;4;1;52;4;3;5;5;5;0
1;2;1;48;4;3;3;6;5;0
0;4;2;37;7;3;3;3;7;1
0;2;1;57;3;2;2;7;7;0
1;3;2;45;3;2;2;5;4;1
0;3;2;42;4;4;4;7;6;1
0;4;2;64;7;4;4;7;7;1
1;4;1;53;2;2;1;7;7;0
0;4;2;61;2;3;4;1;1;1
0;4;1;78;7;3;5;2;6;0
0;4;2;34;4;5;4;6;6;1
0;5;1;34;7;3;6;7;7;0
1;5;2;56;1;3;1;7;7;1
1;2;2;78;3;2;3;6;5;1
0;2;1;70;2;3;2;6;7;0
1;0;1;74;3;2;1;7;7;0
0;3;1;44;3;4;5;7;6;0
0;4;2;34;7;4;4;5;5;1
0;1;2;78;1;2;1;7;6;1
0;2;2;59;3;2;5;7;7;1
0;5;2;55;1;2;4;1;3;1
0;4;2;31;5;4;6;5;5;1
0;3;2;63;3;3;2;7;7;1
0;2;1;73;3;3;6;7;4;0
1;3;2;74;4;5;1;7;7;1
1;0;2;57;2;1;4;7;7;1
1;3;1;39;3;3;1;1;7;0
0;4;2;69;3;3;1;1;7;1
0;3;1;86;4;3;6;6;7;0
1;3;1;43;7;2;2;7;7;0
1;4;2;67;4;5;5;6;6;1
1;2;1;79;2;3;1;7;7;0
0;4;2;46;5;2;3;1;5;1
0;5;1;36;8;3;4;6;6;0
1;2;2;52;8;5;4;7;7;1
0;4;2;61;6;3;3;7;7;1
0;4;2;66;1;1;6;1;5;1
1;2;2;45;1;1;1;7;7;1
0;1;2;73;4;3;7;7;7;1
0;4;1;36;2;3;5;6;6;0
0;4;2;49;3;3;5;5;4;1
1;2;1;67;4;4;2;7;7;0
1;2;2;76;4;3;2;7;5;1
0;2;1;64;2;5;6;7;7;0
0;5;2;56;6;3;7;4;4;1
0;4;2;35;3;4;5;5;5;1
0;2;1;60;7;3;1;7;7;0
0;4;2;62;4;3;4;4;4;1
1;2;2;59;4;3;4;6;6;1
0;5;1;67;8;5;6;7;7;0
0;0;1;70;5;3;7;7;7;0
1;2;2;68;4;3;2;6;7;1
0;5;2;35;2;3;5;6;6;1
0;4;2;46;5;3;3;6;5;1
1;3;2;35;2;3;4;6;6;1
0;4;2;42;3;3;6;5;6;1
0;3;2;42;6;3;4;4;4;1
0;4;2;48;7;4;4;6;6;1
1;1;2;66;4;3;4;7;6;1
0;4;1;54;2;1;3;1;1;0
0;3;2;41;5;3;4;1;4;1
0;5;2;38;5;4;2;7;7;1
0;0;2;62;2;3;2;7;6;1
0;5;2;44;3;3;5;3;3;1
0;4;1;45;6;4;3;7;7;0
0;4;2;77;1;2;5;5;6;1
0;5;1;61;5;3;1;3;3;0
1;3;1;59;4;3;1;1;7;0
1;4;1;68;5;3;5;6;7;0
1;4;2;41;2;3;3;5;5;1
1;4;2;63;3;3;1;7;5;1
0;2;1;60;3;3;4;1;6;0
0;4;2;41;4;2;4;2;5;1
0;4;2;70;4;4;3;5;6;1
0;2;1;69;1;3;5;5;7;0
1;2;2;53;4;3;2;6;6;1
1;2;1;48;5;3;1;7;1;0
0;2;2;43;2;3;4;6;6;1
0;4;2;62;2;3;7;4;7;1
0;2;2;49;4;3;4;4;4;1
0;4;2;68;4;2;2;3;6;1
0;4;1;29;2;3;5;2;6;0
0;3;1;58;4;2;1;7;5;0
0;4;1;61;4;3;6;7;7;0
0;2;1;58;3;4;5;7;5;0
0;4;2;37;2;1;1;1;2;1
0;4;2;65;4;2;5;4;6;1
1;4;1;39;4;4;3;7;7;0
0;4;1;65;5;3;4;4;4;0
1;2;1;55;4;1;1;7;7;0
0;4;2;42;6;3;3;6;6;1
0;4;1;60;1;2;4;3;3;0
0;2;2;28;1;1;4;4;4;1
0;3;1;58;3;2;5;5;5;0
0;4;1;34;6;4;3;1;1;0
1;1;2;73;4;3;1;7;7;1
1;2;2;34;4;3;2;6;5;1
0;4;1;45;2;3;3;4;4;0
0;5;2;41;7;2;2;1;2;1
0;4;1;39;5;3;5;1;1;0
0;5;2;36;2;4;2;1;4;1
1;2;1;44;5;3;1;7;3;0
0;4;1;32;4;3;2;4;2;0
0;4;2;37;6;3;5;4;4;1
0;2;1;67;4;3;4;4;7;0
0;4;1;40;4;3;3;5;6;0
0;4;1;73;7;3;5;1;4;0
1;3;2;69;2;3;1;7;6;1
0;5;1;66;1;4;2;2;5;0
1;4;1;62;4;3;1;1;1;0
0;4;1;51;5;1;5;7;7;0
0;3;2;53;5;3;1;7;7;1
0;4;1;37;4;3;4;1;5;0
0;5;1;37;6;3;5;4;5;0
0;3;1;42;5;4;7;1;7;0
0;5;2;69;2;3;7;6;5;1
0;5;2;33;5;3;6;5;5;1
0;3;2;32;7;4;5;3;5;1
0;2;1;55;3;2;4;7;5;0
0;4;2;68;3;3;2;7;5;1
1;5;2;63;4;3;3;6;6;1
1;5;2;62;4;5;1;7;7;1
1;0;1;69;2;3;1;7;7;0
0;4;1;65;4;3;6;7;7;0
1;4;1;29;6;4;4;3;6;0
1;3;1;56;3;3;1;1;7;0
0;4;1;47;8;4;5;6;5;0
0;5;1;32;4;3;5;4;6;0
0;5;1;29;5;2;4;7;6;0
0;4;2;36;5;4;4;7;7;1
0;3;2;57;4;2;3;3;4;1
0;5;2;38;7;4;2;2;6;1
1;4;2;68;1;2;1;7;7;1
1;2;1;62;3;2;7;7;6;0
0;3;1;75;3;3;5;3;5;0
1;2;1;79;3;2;3;6;6;0
0;2;2;45;1;4;2;7;4;1
1;4;2;38;3;4;1;7;6;1
1;4;2;46;6;3;3;1;7;1
0;4;2;69;5;3;7;5;5;1
1;4;1;67;2;3;1;7;7;0
0;3;1;38;2;3;4;3;5;0
0;2;2;39;6;3;4;4;4;1
0;4;1;64;2;3;7;5;5;0
0;3;1;76;3;3;5;7;7;0
1;3;1;66;2;3;5;7;7;0
0;3;2;72;4;4;7;4;4;1
1;0;1;60;6;4;1;7;4;0
1;0;1;71;4;3;1;7;1;0
1;0;1;61;3;2;1;7;3;0
0;4;1;33;6;4;7;5;5;0
0;4;2;52;7;2;5;6;5;1
0;5;2;53;5;3;7;5;6;1
1;4;1;75;4;3;1;1;7;0
0;4;2;33;4;3;4;2;5;1
0;3;1;68;6;3;5;1;7;0
1;2;2;62;4;3;4;4;7;1
0;3;1;61;6;3;5;6;6;0
0;4;1;38;4;3;2;5;4;0
0;5;1;72;7;3;6;7;7;0
0;4;2;65;3;3;6;4;5;1
0;4;2;63;4;3;4;6;6;1
0;4;2;42;3;3;5;1;5;1
1;3;2;37;5;2;1;7;3;1
0;3;2;42;6;2;7;1;1;1
1;0;2;59;4;3;1;7;7;1
1;4;1;53;6;3;5;2;2;0
0;2;1;83;4;2;4;7;7;0
0;3;2;56;7;3;6;7;7;1
1;4;2;69;1;3;2;7;6;1
1;3;2;38;4;2;2;6;6;1
0;3;2;33;4;3;4;2;7;1
1;3;2;58;2;3;3;3;4;1
0;4;2;36;3;3;5;1;6;1
0;1;2;63;4;2;7;7;7;1
0;3;2;61;2;4;5;4;5;1
1;4;2;31;7;4;5;4;5;1
0;4;1;75;3;2;4;4;4;0
0;5;1;36;4;4;6;5;6;0
1;3;2;63;4;3;1;7;7;1
0;4;2;30;4;2;4;3;4;1
0;4;1;64;3;1;6;1;4;0
0;4;2;53;4;3;2;6;6;1
1;5;2;38;7;2;5;7;6;1
0;4;2;70;4;3;7;1;7;1
1;0;1;61;4;2;2;7;4;0
0;4;2;34;3;4;3;6;6;1
0;5;2;40;5;3;2;7;6;1
0;4;1;32;7;2;5;6;6;0
1;4;1;35;5;3;1;6;5;0
0;4;1;29;4;4;1;1;1;0
1;2;2;33;1;3;4;6;6;1
1;1;2;59;3;2;3;6;7;1
0;4;1;39;7;4;4;5;5;0
1;4;2;41;4;3;1;7;7;1
1;3;1;60;2;3;3;7;7;0
1;2;1;57;4;3;1;7;6;0
1;2;1;69;3;4;1;7;7;0
0;3;1;44;5;3;5;5;7;0
1;2;1;60;7;3;1;7;5;0
0;3;2;51;4;1;5;4;5;1
0;3;1;45;7;3;3;1;5;0
1;2;1;58;3;4;2;7;7;0
0;5;2;28;2;3;7;4;7;1
0;4;2;61;4;2;1;3;6;1
1;4;1;37;4;4;2;7;6;0
0;4;2;36;4;3;5;6;6;1
1;4;1;63;3;3;4;7;7;0
0;4;2;32;4;3;7;1;7;1
0;4;1;48;3;3;4;4;4;0
0;4;2;33;3;3;5;7;7;1
1;4;1;39;6;4;2;5;5;0
0;0;1;76;2;2;5;7;7;0
0;3;1;68;5;4;6;7;2;0
1;1;2;56;2;2;2;7;7;1
1;4;2;58;1;3;1;7;7;1
0;4;1;72;3;3;5;1;6;0
1;3;1;83;4;3;4;6;7;0
0;2;1;72;2;3;5;7;7;0
0;5;2;30;5;2;4;1;4;1
1;2;1;77;2;3;1;7;7;0
1;4;2;64;6;3;4;7;7;1
1;1;2;65;4;1;1;7;7;1
0;2;2;48;6;5;4;7;7;1
0;4;1;68;6;3;4;7;7;0
0;4;2;72;3;3;5;5;5;1
0;3;1;69;4;3;4;1;5;0
0;5;1;58;2;3;5;3;5;0
1;4;2;63;3;3;1;1;6;1
1;3;2;71;3;3;2;5;6;1
0;4;2;45;1;1;4;4;4;1
1;4;2;70;4;4;1;7;4;1
0;3;1;42;6;3;4;3;5;0
0;4;1;62;3;3;4;1;7;0
1;0;2;70;2;4;1;7;5;1
1;2;2;75;3;3;4;1;7;1
1;2;1;84;2;4;1;7;7;0
0;5;1;32;5;4;2;1;7;0
0;5;2;32;5;4;3;4;5;1
1;0;1;56;4;3;1;7;4;0
0;3;2;45;3;3;3;7;7;1
0;4;1;40;7;3;6;6;7;0
1;4;2;65;4;3;6;1;1;1
1;1;1;56;1;3;3;6;7;0
0;5;1;45;5;2;4;1;6;0
0;4;1;68;4;3;5;5;5;0
0;5;1;64;4;2;6;3;7;0
1;4;1;57;7;4;1;7;4;0
0;4;1;62;7;2;6;1;5;0
0;4;2;62;6;3;6;4;5;1
1;4;1;69;2;2;2;1;6;0
0;4;1;52;7;3;5;3;6;0
1;2;1;59;6;3;4;1;6;0
0;3;1;50;8;3;4;6;6;0
0;4;1;58;7;3;4;5;6;0
0;2;1;39;4;4;5;6;6;0
0;5;1;60;7;3;7;1;4;0
1;5;2;59;2;5;3;1;7;1
0;4;1;51;4;3;4;4;4;0
0;0;1;65;3;4;6;1;4;0
1;4;1;48;5;3;1;7;4;0
1;0;1;69;4;1;1;7;7;0
0;3;2;58;2;2;4;4;4;1
0;2;1;70;3;3;5;6;6;0
0;4;2;53;4;3;5;1;7;1
0;4;2;76;4;3;7;7;7;1
1;0;1;85;4;3;4;7;6;0
0;3;2;66;4;1;5;6;5;1
1;1;2;70;7;2;1;7;7;1
1;3;1;63;2;3;2;6;6;0
1;4;1;74;3;3;1;7;7;0
0;3;2;68;7;3;7;1;1;1
0;4;1;71;5;3;6;2;5;0
0;4;1;35;2;3;3;4;7;0
1;1;1;79;4;2;1;5;4;0
1;4;1;67;4;2;2;6;6;0
1;3;2;76;3;2;1;7;7;1
0;4;2;65;4;3;6;6;6;1
0;3;1;65;4;3;4;1;3;0
0;5;1;79;4;2;7;5;5;0
1;2;1;64;3;3;1;7;7;0
0;4;1;66;4;5;1;5;7;0
0;0;1;79;5;4;4;1;7;0
1;4;2;52;5;3;1;7;4;1
1;2;1;72;1;1;1;7;7;0
1;3;1;53;1;2;4;5;4;0
0;0;1;47;6;3;4;7;4;0
1;1;1;61;4;3;1;7;7;0
0;1;1;54;3;4;3;7;5;0
1;1;1;57;2;4;3;7;7;0
1;2;1;53;4;3;1;7;7;0
0;3;1;56;5;4;5;1;6;0
1;2;1;44;5;2;3;6;6;0
1;5;1;68;6;2;2;7;7;0
1;3;1;47;5;3;3;1;3;0
0;4;2;64;4;3;3;2;7;1
0;4;1;69;3;3;5;7;6;0
0;4;1;70;2;3;6;4;4;0
1;1;2;63;4;3;5;7;7;1
1;2;1;67;5;2;2;7;7;0
1;3;2;65;5;3;3;7;7;1
0;2;1;72;5;3;6;5;6;0
1;2;1;74;3;4;2;7;5;0
0;3;2;69;3;3;4;7;7;1
0;3;1;67;5;3;5;7;7;0
1;0;1;77;5;3;1;6;6;0
0;0;1;77;2;2;4;7;7;0
0;3;1;65;4;3;4;4;5;0
1;2;2;35;4;1;1;7;7;1
1;2;1;50;3;3;1;7;6;0
1;2;2;60;1;2;7;7;7;1
0;4;2;69;6;3;5;1;6;1
1;4;2;68;3;3;2;5;5;1
0;4;1;42;3;4;3;2;5;0
1;2;1;59;3;2;5;7;7;0
0;5;2;41;4;2;6;3;6;1
0;5;1;54;4;1;6;2;6;0
0;4;1;43;4;2;1;1;6;0
1;4;1;69;6;3;2;6;6;0
0;5;2;33;6;3;4;5;5;1
0;4;2;63;4;4;6;6;6;1
0;5;1;41;5;3;6;2;3;0
0;4;2;42;3;4;4;4;4;1
1;0;1;61;2;3;1;7;1;0
1;4;1;50;3;2;4;4;4;0
1;3;2;54;2;2;1;7;4;1
